artist_name,book_name,profile_url,publisher_name,publisher_profile_url
Charlie Simokaitis,The Crisis Tapes,https://photobookers.com/creators/charlie-simokaitis,TIS Books,https://photobookers.com/creators/tis-books
Charlotte Dumas,Entendue,https://photobookers.com/creators/charlotte-dumas,FW Books,https://photobookers.com/creators/fw-books
Charlotte Krieger,Spare No Expense,https://photobookers.com/creators/charlotte-krieger,Jungle Books,https://photobookers.com/creators/jungle-books
Chessa Subbiondo,SPLINT,https://photobookers.com/creators/chessa-subbiondo,Super Labo,https://photobookers.com/creators/super-labo
Chris Round,The Grand Scheme,https://photobookers.com/creators/chris-round,Subjectively Objective,https://photobookers.com/creators/subjectively-objective
Christian Hersche,Chom Hee Zo Mee,https://photobookers.com/creators/christian-hersche,Jungle Books,https://photobookers.com/creators/jungle-books
Christine Ward,Distant Calls in Fading Light,https://photobookers.com/creators/christine-ward,Tall Poppy Press,https://photobookers.com/creators/tall-poppy-press
Christopher Lowell,THIRTY-ONE DAYS,https://photobookers.com/creators/christopher-lowell,Fall Line Press,https://photobookers.com/creators/fall-line-press
Christopher Robin Duncan,Poems,https://photobookers.com/creators/christopher-robin-duncan,Deadbeat Club Press,https://photobookers.com/creators/deadbeat-club-press
Clare Strand,Skirts,https://photobookers.com/creators/clare-strand,GOST,https://photobookers.com/creators/gost
Claudius Schulze,State Of Nature,https://photobookers.com/creators/claudius-schulze,Hartmann Books,https://photobookers.com/creators/hartmann-books
Clay Maxwell Jordan,PERPETUAL CARE,https://photobookers.com/creators/clay-maxwell-jordan,Fall Line Press,https://photobookers.com/creators/fall-line-press
Clemens Ascher,Of Forms and Traces Vol. 2,https://photobookers.com/creators/clemens-ascher,Jungle Books,https://photobookers.com/creators/jungle-books
Clifford Prince King,Orange Grove,https://photobookers.com/creators/clifford-prince-king,TIS Books,https://photobookers.com/creators/tis-books
Cody Cobb,Cascadia II,https://photobookers.com/creators/cody-cobb,Another Place Press,https://photobookers.com/creators/another-place-press
Cole Flynn Quirke,Even a maniac can learn to drive,https://photobookers.com/creators/cole-flynn-quirke,Jane & Jeremy,https://photobookers.com/creators/jane--jeremy
Constance Jaeggi,Escaramuza,https://photobookers.com/creators/constance-jaeggi,GOST,https://photobookers.com/creators/gost
Courtney Allen,Splendor,https://photobookers.com/creators/courtney-allen,Deadbeat Club Press,https://photobookers.com/creators/deadbeat-club-press
Craig Easton,An Extremely Un-Get-Atable Place,https://photobookers.com/creators/craig-easton,GOST,https://photobookers.com/creators/gost
Cristian Ordonez,On Trial,https://photobookers.com/creators/cristian-ordonez,acb-press,https://photobookers.com/creators/acb-press
Curran Hatleberg,Blood Green,https://photobookers.com/creators/curran-hatleberg,TBW Books,https://photobookers.com/creators/tbw-books
Dafna Talmor,Constructed Landscapes: Addendum,https://photobookers.com/creators/dafna-talmor,FW Books,https://photobookers.com/creators/fw-books
Daido Moriyama,Mantis,https://photobookers.com/creators/daido-moriyama,Nazraeli Press,https://photobookers.com/creators/nazraeli-press
Daniel Arnold,You Are What You Do,https://photobookers.com/creators/daniel-arnold,Loose Joints,https://photobookers.com/creators/loose-joints
Daniel Fuller,Luminous Mind,https://photobookers.com/creators/daniel-fuller,Jane & Jeremy,https://photobookers.com/creators/jane--jeremy
Daniel Lee Postaer,Mother's Land,https://photobookers.com/creators/daniel-lee-postaer,Deadbeat Club Press,https://photobookers.com/creators/deadbeat-club-press
David Brandon Geeting,The Marble,https://photobookers.com/creators/david-brandon-geeting,TBW Books,https://photobookers.com/creators/tbw-books
David Hurn,On Reading,https://photobookers.com/creators/david-hurn,RRB Photobooks,https://photobookers.com/creators/rrb-photobooks
David Spero,Settlements,https://photobookers.com/creators/david-spero,,
Delaney Allen,Red Orange,https://photobookers.com/creators/delaney-allen,Jane & Jeremy,https://photobookers.com/creators/jane--jeremy
